,cluster,id_vendedor,estado,qtd_pedidos,dias_sem_vender,receita_total,dias_atividade,datas_distintas_de_venda,%_de_atividade,vendas_por_dia_de_atividade,avaliacao_media,qtd_produtos,media_produtos_por_pedido,media_valor_pedido_sem_frete,media_valor_pedido_com_frete,media_valor_frete,prop_pedidos_atrasados,tempo_de_postagem,Label,Score_0,Score_1
15,1,"""822b63912576852aea9a8436d72317b7""",SP,6,587,3466.0,111,5,0.05,1.2,5.0,7,1.17,577.67,602.5,24.83,0.0,-6,1,0.0999,0.9001
16,1,c7246702dc991a06d788120dc7544391,CE,1,194,55.0,1,1,1.0,1.0,2.5,1,1.0,55.0,73.0,18.0,0.0,6,1,0.0116,0.9884
17,1,"""9803a40e82e45418ab7fb84091af5231""",GO,11,13,4281.0,95,11,0.12,1.0,4.0,18,1.64,389.18,435.73,46.55,0.0,2,0,0.7367,0.2633
18,1,"""1e8c6a4c538f286aee9573239740a4b4""",SP,5,21,360.0,126,5,0.04,1.0,3.5,5,1.0,72.0,89.4,17.4,0.0,4,0,0.551,0.449
19,1,e8dba4d70f7f2b20e775d09cae01142d,SP,9,13,856.0,85,9,0.11,1.0,4.17,9,1.0,95.11,114.78,19.67,0.11,3,0,0.5956,0.4044
20,1,"""5b51032eddd242adc84c38acab88f23d""",MG,12,79,3280.0,230,12,0.05,1.0,3.0,14,1.17,273.33,295.83,22.5,0.0,3,0,0.7228,0.2772
21,1,"""8a87611c08849ffeeccab52aa798b6c7""",PR,6,570,588.0,15,5,0.33,1.2,4.75,6,1.0,98.0,116.83,18.83,0.0,-2,1,0.0203,0.9797
22,0,e067ad2c1c0b48758eb1b5228bcf7a68,SP,54,21,5050.0,557,49,0.09,1.1,3.96,61,1.13,93.52,112.15,18.63,0.08,2,0,0.9581,0.0419
23,0,d51e0a403fe2e689ece6c73359d96e12,SP,18,38,7380.0,341,17,0.05,1.06,4.2,25,1.39,410.0,446.0,36.0,0.08,7,0,0.7831,0.2169
24,1,"""7d13fca15225358621be4086e1eb0964""",SP,558,9,112456.0,193,142,0.74,3.93,4.05,571,1.02,201.53,216.76,15.23,0.12,2,0,0.9431,0.0569
25,1,a09a13f18ed27932d08438aa6f12756e,RS,1,310,30.0,1,1,1.0,1.0,2.5,1,1.0,30.0,46.0,16.0,0.0,4,1,0.013,0.987
26,1,"""436bf27f2f18474fc6047702e9f8a866""",SP,1,593,30.0,1,1,1.0,1.0,2.5,1,1.0,30.0,45.0,15.0,0.0,-1,1,0.0082,0.9918
27,0,e0a366315b1b726b6c7832d664c0f530,SP,43,17,7405.0,431,39,0.09,1.1,3.95,51,1.19,172.21,189.58,17.37,0.04,3,0,0.8473,0.1527
28,1,"""1d139e3a3b14025640d8df1b230aace0""",SP,2,288,36.0,68,2,0.03,1.0,3.5,2,1.0,18.0,35.5,17.5,0.0,4,1,0.2344,0.7656
29,1,"""43753b27d77860f1654aa72e251a7878""",BA,1,357,24.0,1,1,1.0,1.0,5.0,1,1.0,24.0,66.0,42.0,0.0,1,1,0.0192,0.9808
30,0,"""3c7c4a49ec3c6550809089c6a2ca9370""",SP,139,13,4007.0,352,101,0.29,1.38,3.87,158,1.14,28.83,41.76,12.93,0.08,4,0,0.9002,0.0998
31,1,d101c6da914ae3d53f7bee42283f2fe2,SP,13,461,1386.0,236,12,0.05,1.08,4.27,19,1.46,106.62,129.85,23.23,0.05,1,1,0.4231,0.5769
32,0,"""7b0df942f46435babab05d49b744b2c4""",SP,32,70,22601.0,507,27,0.05,1.19,4.27,32,1.0,706.28,727.28,21.0,0.09,3,0,0.9461,0.0539
33,0,"""7202e2ba20579a9bd1acb29e61fe71f6""",SP,51,13,12091.0,395,45,0.11,1.13,3.59,53,1.04,237.08,259.22,22.14,0.06,3,0,0.8424,0.1576
34,1,c3ee2331a724e6fc02c4b698b57a73f3,SP,2,275,1347.0,11,2,0.18,1.0,2.5,3,1.5,673.5,744.0,70.5,0.0,4,1,0.0274,0.9726
35,0,b98b715fe9e276204e2a3464f48cd796,SP,4,140,389.0,437,4,0.01,1.0,1.0,4,1.0,97.25,110.0,12.75,0.25,3,1,0.3121,0.6879
36,1,cb162c8eef257253782d245c08d9097c,SP,1,288,35.0,1,1,1.0,1.0,5.0,1,1.0,35.0,49.0,14.0,0.0,1,1,0.0115,0.9885
37,1,b452cb0ae35044c4a53179c39f49fb06,SP,2,93,64.0,2,2,1.0,1.0,4.0,2,1.0,32.0,51.0,19.0,0.0,-5,1,0.0082,0.9918
38,1,"""702835e4b785b67a084280efca355756""",MG,1,566,8.0,1,1,1.0,1.0,2.5,1,1.0,8.0,19.0,11.0,0.0,3,1,0.014,0.986
39,1,"""688756f717c462a206ad854c5027a64a""",SP,81,14,5839.0,133,57,0.43,1.42,4.0,99,1.22,72.09,95.53,23.44,0.09,1,0,0.8873,0.1127
40,1,"""638cba8be1fb599bbb76fd6948351eb3""",SP,16,340,538.0,129,16,0.12,1.0,4.92,22,1.38,33.62,50.31,16.69,0.0,4,0,0.6676,0.3324
41,1,eddd1991bd6d9309995a480c39b95137,PR,2,299,601.0,3,2,0.67,1.0,2.5,2,1.0,300.5,336.0,35.5,0.0,3,1,0.0202,0.9798
42,1,af4a0e4cfe1d9c26b6712b1be25a72e5,MG,21,172,8760.0,226,21,0.09,1.0,3.55,26,1.24,417.14,445.38,28.24,0.08,1,0,0.5519,0.4481
43,1,"""6dd7dce75cd55c1ce255dc38d9f0cd46""",SC,1,260,75.0,1,1,1.0,1.0,4.0,1,1.0,75.0,96.0,21.0,0.0,8,1,0.0177,0.9823
44,1,"""461ff5303b6c9c1a4a07f40c5aece516""",PR,3,51,103.0,141,3,0.02,1.0,2.5,3,1.0,34.33,53.67,19.33,0.0,3,0,0.5516,0.4484
45,1,d71d863e5ef30d94e440c11be17dcd8f,SP,23,124,9247.0,200,15,0.08,1.53,3.44,30,1.3,402.04,431.43,29.39,0.1,1,0,0.5261,0.4739
46,1,"""52092ddbd3a58c450a4459bf051b2287""",SP,6,160,352.0,137,6,0.04,1.0,5.0,6,1.0,58.67,71.33,12.67,0.0,4,1,0.4777,0.5223
47,0,"""9d7a1d34a5052409006425275ba1c2b4""",SP,13,14,1056.0,400,12,0.03,1.08,4.75,16,1.23,81.23,102.54,21.31,0.06,2,0,0.7736,0.2264
48,1,"""6b333a05bf188ef3e1f1662a86bd9855""",DF,12,24,3991.0,196,12,0.06,1.0,4.33,13,1.08,332.58,379.67,47.08,0.08,2,0,0.8384,0.1616
49,0,"""0b90b6df587eb83608a64ea8b390cf07""",PR,163,16,28498.0,299,101,0.34,1.61,3.98,209,1.28,174.83,196.96,22.13,0.03,8,0,0.7069,0.2931
50,1,"""38af8acfd46ac4a7bf754e8ca6736664""",SP,5,201,345.0,78,5,0.06,1.0,4.0,5,1.0,69.0,79.6,10.6,0.0,3,1,0.4637,0.5363
51,1,"""0747d5bb69f0586cc869d8af4c50f93e""",RJ,12,457,324.0,241,12,0.05,1.0,4.0,13,1.08,27.0,42.25,15.25,0.08,0,0,0.55,0.45
52,1,"""89bc797e2e29667aa035d4368f9b7f92""",SP,16,509,394.0,189,13,0.07,1.23,3.29,19,1.19,24.62,39.81,15.19,0.16,-2,1,0.4755,0.5245
53,1,f326006815956455b2859abd58fe7e39,SP,9,33,3136.0,267,9,0.03,1.0,4.67,30,3.33,348.44,422.44,74.0,0.0,2,0,0.7073,0.2927
54,1,"""8b87cd0d43d49b9bdf40f56229364d59""",SP,2,300,729.0,28,2,0.07,1.0,5.0,2,1.0,364.5,432.5,68.0,0.0,2,1,0.12,0.88
55,1,e8a85b5f3df47be0984c55fd4064dbb4,DF,8,12,743.0,193,8,0.04,1.0,4.6,14,1.75,92.88,121.0,28.12,0.14,1,0,0.6948,0.3052
56,1,c79151301b9d90985d1fa52879213105,PR,3,272,268.0,14,2,0.14,1.5,5.0,7,2.33,89.33,128.0,38.67,0.0,6,1,0.0353,0.9647
57,0,"""0ebd97a106433a45a4aebe57c1799778""",MG,31,52,3050.0,424,31,0.07,1.0,4.71,32,1.03,98.39,118.23,19.84,0.0,3,0,0.8422,0.1578
58,0,"""02c988090b766852e088c69d7fb3b551""",SP,12,19,1567.0,391,12,0.03,1.0,4.67,16,1.33,130.58,147.67,17.08,0.0,4,0,0.782,0.218
59,1,"""6b3bd31ad8fcda4b2635ec9f3ff2ecdf""",RJ,35,24,4066.0,140,24,0.17,1.46,4.4,42,1.2,116.17,137.46,21.29,0.1,2,0,0.674,0.326
60,1,fe701d88b67eaca109dffd464d1be9f9,RJ,10,40,1360.0,246,9,0.04,1.11,4.0,10,1.0,136.0,157.9,21.9,0.1,5,0,0.598,0.402
61,1,"""7b8e8ec35bad4b0ef7e3963650b0a87b""",SC,5,39,2245.0,116,5,0.04,1.0,4.67,5,1.0,449.0,523.4,74.4,0.2,4,0,0.8046,0.1954
62,0,"""57c764b4a836300be881e2ff86e449f9""",SP,28,12,1159.0,567,28,0.05,1.0,4.85,29,1.04,41.39,57.75,16.36,0.14,3,0,0.9457,0.0543
63,0,"""7008613ea464bad5cb9b83456e1e6a8f""",SC,123,12,7582.0,681,103,0.15,1.19,4.18,152,1.24,61.64,85.66,24.02,0.04,2,0,0.9701,0.0299
64,1,"""33a6f4b1e7cdc205511e76ba1b6e0186""",SP,105,6,10296.0,215,77,0.36,1.36,4.45,126,1.2,98.06,116.13,18.08,0.02,4,0,0.8034,0.1966
65,1,e9511df20ccd82658a30c37b7fb343af,SP,22,24,2107.0,261,22,0.08,1.0,4.75,30,1.36,95.77,128.73,32.95,0.0,4,0,0.8036,0.1964
66,1,"""77a515caa36327151d1cc6c32a9f00e1""",SP,26,11,2219.0,177,23,0.13,1.13,4.3,26,1.0,85.35,100.58,15.23,0.12,3,0,0.7475,0.2525
67,1,f266295f49a28eee21f413e0cbb0521d,PR,2,297,150.0,2,2,1.0,1.0,2.5,2,1.0,75.0,89.0,14.0,0.0,2,1,0.0189,0.9811
68,0,"""88460e8ebdecbfecb5f9601833981930""",PR,246,17,31931.0,270,113,0.42,2.18,3.19,305,1.24,129.8,150.18,20.38,0.19,0,0,0.9003,0.0997
69,1,"""578fa3a9cb6b6dceab39231ad59cdaca""",CE,3,125,150.0,228,3,0.01,1.0,5.0,3,1.0,50.0,62.33,12.33,0.33,2,1,0.4105,0.5895
70,0,"""9add47bf45ce8e8c7db6b9cf670b1e09""",PR,41,16,4614.0,559,41,0.07,1.0,4.14,43,1.05,112.54,138.98,26.44,0.02,2,0,0.9483,0.0517
71,2,"""33dd941c27854f7625b968cc6195a552""",ES,5,31,6790.0,68,5,0.07,1.0,5.0,5,1.0,1358.0,1434.0,76.0,0.0,3,0,0.6671,0.3329
72,1,"""9e94fa26a70ede4d26226e918e8706a2""",SP,1,395,63.0,1,1,1.0,1.0,2.5,1,1.0,63.0,73.0,10.0,0.0,2,1,0.014,0.986
73,1,"""88ae906ea2acf6971f26c3e8b7cb4357""",SP,3,115,246.0,15,3,0.2,1.0,2.5,3,1.0,82.0,95.67,13.67,0.33,2,1,0.0249,0.9751
74,1,"""6ee85be3693ed79a8e80718743d80655""",SP,5,498,150.0,90,5,0.06,1.0,4.5,5,1.0,30.0,48.0,18.0,0.4,-8,1,0.2538,0.7462
75,1,"""2493dc3f20131696a0ecdb9948051a8d""",DF,4,573,505.0,15,4,0.27,1.0,2.5,4,1.0,126.25,144.0,17.75,0.0,2,1,0.026,0.974
76,1,f5f1f2c5f923f36ad79ea1d07185ddc9,SP,10,152,1518.0,42,8,0.19,1.25,4.5,11,1.1,151.8,169.0,17.2,0.09,1,1,0.0537,0.9463
77,1,"""8b9d6eec4a7eb7d0f9d579ce0b38324d""",RJ,48,14,4160.0,99,35,0.35,1.37,3.81,52,1.08,86.67,121.29,34.62,0.15,1,0,0.7745,0.2255
78,1,"""53336f97ddbe53e2a617d07b17447b95""",SP,1,333,600.0,1,1,1.0,1.0,2.5,1,1.0,600.0,675.0,75.0,0.0,6,1,0.0202,0.9798
79,1,"""606ce7768feac12c5e8bd58db8b08f0f""",SP,5,27,2917.0,106,5,0.05,1.0,5.0,5,1.0,583.4,604.0,20.6,0.0,4,0,0.6456,0.3544
80,0,fa1a9dec3a9940c072684a46728bf1fc,SC,55,12,6680.0,686,50,0.07,1.1,3.86,60,1.09,121.45,143.31,21.85,0.0,0,0,0.8553,0.1447
81,1,"""53d00c40e32aeb924a84ce72b1af869d""",SP,17,30,2167.0,211,12,0.06,1.42,4.57,17,1.0,127.47,145.0,17.53,0.24,2,0,0.7264,0.2736
82,1,ba5daa4041e1f15cdf34b76e3e18a450,SP,15,14,808.0,199,15,0.08,1.0,4.29,15,1.0,53.87,63.87,10.0,0.0,3,0,0.7584,0.2416
83,0,e5a38146df062edaf55c38afa99e42dc,SP,120,12,15266.0,684,94,0.14,1.28,3.68,124,1.03,127.22,142.88,15.66,0.09,3,0,0.9662,0.0338
84,1,d66c305afaec317ebee552073a674429,MG,38,472,4127.0,129,33,0.26,1.15,4.54,44,1.16,108.61,137.82,29.21,0.02,3,0,0.6535,0.3465
85,0,"""25c5c91f63607446a97b143d2d535d31""",MG,156,158,54361.0,387,121,0.31,1.29,3.43,267,1.71,348.47,393.28,44.81,0.06,4,0,0.8218,0.1782
86,0,"""60562ab00b8054280520d390c8c0045c""",SP,17,30,2943.0,291,17,0.06,1.0,4.75,17,1.0,173.12,191.06,17.94,0.0,3,0,0.7371,0.2629
87,1,b274baf5bbd142410eb2958cf685d684,RS,7,45,586.0,66,6,0.09,1.17,3.0,7,1.0,83.71,104.86,21.14,0.0,7,1,0.2763,0.7237
88,1,c74f14c1e26cf1bd5bd34b6a1e274426,SC,1,216,39.0,1,1,1.0,1.0,2.5,1,1.0,39.0,56.0,17.0,0.0,13,1,0.0115,0.9885
89,1,"""59cd88080b93f3c18508673122d26169""",SP,10,268,394.0,137,10,0.07,1.0,4.75,12,1.2,39.4,56.8,17.4,0.25,4,1,0.481,0.519
90,1,"""3ca08eeb8d5595949fed424bd3677742""",PR,13,237,1690.0,244,13,0.05,1.0,5.0,13,1.0,130.0,164.54,34.54,0.0,4,0,0.5749,0.4251
91,2,"""585175ec331ea177fa47199e39a6170a""",MG,1,558,3549.0,1,1,1.0,1.0,5.0,1,1.0,3549.0,3602.0,53.0,0.0,1,1,0.0133,0.9867
92,0,cc419e0650a3c5ba77189a1882b7556a,SP,1651,6,101772.0,573,475,0.83,3.48,4.15,1735,1.05,61.64,76.81,15.17,0.06,5,0,0.962,0.038
93,0,e9bc59e7b60fc3063eb2290deda4cced,PR,209,17,33565.0,528,139,0.26,1.5,4.3,260,1.24,160.6,182.3,21.7,0.13,2,0,0.9655,0.0345
94,1,"""0761743cbffb25d7148189e9f1a5f03a""",SP,3,213,240.0,63,3,0.05,1.0,5.0,7,2.33,80.0,109.0,29.0,0.0,2,1,0.2399,0.7601
95,1,"""74636e24f01da9268b0ed88dacd8513e""",SP,4,20,776.0,112,4,0.04,1.0,5.0,4,1.0,194.0,262.25,68.25,0.25,5,0,0.6333,0.3667
96,1,"""63a79f5a7eb5cb48a7e5787b141c7993""",MG,11,49,816.0,97,10,0.1,1.1,4.25,11,1.0,74.18,92.45,18.27,0.0,3,0,0.6577,0.3423
97,1,b87a7ea0c30fad2dd6781b74a0064859,SP,9,63,516.0,174,9,0.05,1.0,3.33,9,1.0,57.33,70.89,13.56,0.33,4,0,0.5414,0.4586
98,1,a20d8058c866dbaeca014d2cd20ac62e,SP,2,110,1194.0,147,2,0.01,1.0,5.0,2,1.0,597.0,619.5,22.5,0.5,5,0,0.5113,0.4887
99,0,"""80e6699fe29150b372a0c8a1ebf7dcc8""",PR,95,111,11086.0,583,87,0.15,1.09,4.39,97,1.02,116.69,144.6,27.91,0.04,3,0,0.9394,0.0606
100,1,f682e0f848abafc6f41e0d4e868c66ef,SP,2,108,270.0,218,2,0.01,1.0,3.0,2,1.0,135.0,152.0,17.0,0.5,2,0,0.5191,0.4809
101,0,"""4324dd16853115efb0fd9d0d131ba6f4""",SP,12,179,1054.0,282,12,0.04,1.0,4.0,18,1.5,87.83,114.92,27.08,0.06,4,0,0.6206,0.3794
102,1,f08c008c8a8d31417763738a1788a2a8,PR,20,234,1214.0,91,17,0.19,1.18,4.0,21,1.05,60.7,80.3,19.6,0.14,4,0,0.6351,0.3649
103,1,d2f3e277560ed4c6361284429b00f037,SP,7,330,321.0,93,7,0.08,1.0,4.8,7,1.0,45.86,65.0,19.14,0.0,4,0,0.5109,0.4891
104,1,"""83f2b4881141ce3fcd4e985125d3279e""",SP,3,169,61.0,54,3,0.06,1.0,5.0,3,1.0,20.33,34.0,13.67,0.33,2,1,0.111,0.889
105,1,dc64d75cc406bb0697be983831430e60,MG,4,18,813.0,86,4,0.05,1.0,4.0,4,1.0,203.25,226.25,23.0,0.0,5,1,0.4034,0.5966
106,1,"""257e61d3251fb5efb9daadddbc2cf7ca""",PR,12,19,7729.0,132,11,0.08,1.09,4.8,12,1.0,644.08,734.0,89.92,0.0,4,0,0.7465,0.2535
107,0,"""973f21788dfab357250f69a8dcb7ddee""",MG,9,111,819.0,476,9,0.02,1.0,3.0,19,2.11,91.0,145.22,54.22,0.37,-6,1,0.2554,0.7446
108,0,"""4e85b538b0dad58852641540686d0e14""",SP,4,70,362.0,334,4,0.01,1.0,5.0,4,1.0,90.5,109.0,18.5,0.5,0,1,0.3769,0.6231
109,1,"""3d01d1c414c44b5943a09619ff3853cb""",SP,4,416,304.0,9,4,0.44,1.0,5.0,4,1.0,76.0,94.0,18.0,0.0,5,1,0.0209,0.9791
110,0,e8f6dc8e6a1dcde89d20e3995c8d90b3,SP,35,277,2153.0,423,32,0.08,1.09,3.7,44,1.26,61.51,119.11,57.6,0.07,7,0,0.5407,0.4593
111,1,"""94231344608e603693b0a8891143f65d""",SP,3,27,722.0,79,3,0.04,1.0,4.0,3,1.0,240.67,274.67,34.0,0.0,4,0,0.5219,0.4781
112,1,"""0936e1837d0c79253456bbb2ffaaef10""",SP,1,509,38.0,1,1,1.0,1.0,5.0,2,2.0,38.0,70.0,32.0,0.0,9,1,0.0128,0.9872
113,0,c7a0a13cbcf29d5ce51c8f80afdc0b89,SC,8,26,483.0,309,8,0.03,1.0,3.5,9,1.12,60.38,82.12,21.75,0.0,3,0,0.6793,0.3207
114,1,f457c46070d02cadd8a68551231220dd,PR,195,65,19081.0,190,92,0.48,2.12,3.92,233,1.19,97.85,116.86,19.01,0.06,3,0,0.8925,0.1075
115,1,"""12a8eb0f8d1cd3270695bf2a99f55966""",SP,2,264,397.0,63,2,0.03,1.0,2.5,2,1.0,198.5,218.0,19.5,0.5,-2,1,0.1149,0.8851
116,1,ffad1e7127fb622cb64a900751590acd,SP,10,51,886.0,124,10,0.08,1.0,5.0,15,1.5,88.6,109.6,21.0,0.0,3,0,0.6371,0.3629
117,1,"""33c51922b6e3c16b24a8f28e5833c99d""",PR,18,33,6660.0,243,17,0.07,1.06,4.71,20,1.11,370.0,390.5,20.5,0.05,1,0,0.6011,0.3989
118,1,"""2ee0a0689f2f6a72f35a7cb6033f6e7e""",SP,4,281,272.0,11,3,0.27,1.33,4.0,4,1.0,68.0,81.25,13.25,0.0,5,1,0.0263,0.9737
119,0,"""1b938a7ec6ac5061a66a3766e0e75f90""",SP,29,16,3863.0,330,28,0.08,1.04,3.86,31,1.07,133.21,162.79,29.59,0.03,5,0,0.7164,0.2836
120,0,"""768de2a4fc06aacecb9a586ccc30746a""",DF,13,108,444.0,284,13,0.05,1.0,3.33,13,1.0,34.15,51.23,17.08,0.0,6,1,0.4386,0.5614
121,0,"""7178f9f4dd81dcef02f62acdf8151e01""",SC,202,14,36810.0,518,140,0.27,1.44,3.97,215,1.06,182.23,203.92,21.69,0.05,5,0,0.9433,0.0567
122,1,a1474fd46fd3430168f7ec202da39408,SP,12,316,2753.0,244,12,0.05,1.0,4.25,14,1.17,229.42,284.33,54.92,0.14,5,0,0.5074,0.4926
123,0,"""004c9cd9d87a3c30c522c48c4fc07416""",SP,155,121,19812.0,463,125,0.27,1.24,4.19,170,1.1,127.82,150.75,22.93,0.08,5,0,0.773,0.227
124,0,"""9dda5bbacd45e18d6485fee649205d09""",MG,19,27,1915.0,499,19,0.04,1.0,4.0,22,1.16,100.79,127.58,26.79,0.09,0,0,0.9099,0.0901
125,1,"""37303482a42fb700d8d127e70a9cd6c8""",SP,1,266,59.0,1,1,1.0,1.0,2.5,1,1.0,59.0,67.0,8.0,0.0,3,1,0.0221,0.9779
126,1,ba6b68b55fe8704377a7d43c8e5c0185,MG,5,457,740.0,31,5,0.16,1.0,4.5,5,1.0,148.0,166.6,18.6,0.0,3,1,0.0458,0.9542
127,0,b6d44737c043328708f6749c2dbe50bd,SP,61,25,5287.0,513,53,0.1,1.15,4.64,79,1.3,86.67,112.1,25.43,0.05,3,0,0.9716,0.0284
128,0,f7720c4fa8e3aba4546301ab80ea1f1b,PR,59,16,2054.0,507,54,0.11,1.09,4.25,77,1.31,34.81,56.98,22.17,0.04,3,0,0.9538,0.0462
129,2,f08a5b9dd6767129688d001acafc21e5,RS,11,230,14070.0,100,10,0.1,1.1,5.0,18,1.64,1279.09,1323.91,44.82,0.22,0,1,0.3144,0.6856
130,1,"""13511db12ac61e2f89c53b72a944a60b""",RS,6,16,798.0,117,6,0.05,1.0,4.0,6,1.0,133.0,177.33,44.33,0.17,2,0,0.7004,0.2996
131,0,a17f621c590ea0fab3d5d883e1630ec6,SP,63,149,2654.0,381,57,0.15,1.11,4.0,78,1.24,42.13,59.46,17.33,0.06,4,0,0.8644,0.1356
132,1,b561927807645834b59ef0d16ba55a24,SP,85,8,4497.0,220,76,0.35,1.12,4.41,95,1.12,52.91,68.13,15.22,0.15,3,0,0.9002,0.0998
133,1,"""3f2af2670e104d1bcb54022274daeac5""",PR,6,106,974.0,234,6,0.03,1.0,2.5,7,1.17,162.33,222.5,60.17,0.14,6152,1,0.2153,0.7847
134,1,bf0045791395e66460eb04749c68672a,SP,2,537,120.0,37,2,0.05,1.0,3.0,2,1.0,60.0,77.5,17.5,0.0,7,1,0.0632,0.9368
135,1,e58a5b390e28abc0b216cfb0e07d27d7,RJ,7,25,1023.0,107,6,0.06,1.17,4.67,7,1.0,146.14,166.71,20.57,0.0,5,1,0.4338,0.5662
136,1,"""5a32c398a06c345440bf2a683b017ad3""",RJ,1,172,35.0,1,1,1.0,1.0,5.0,1,1.0,35.0,50.0,15.0,0.0,1,1,0.0115,0.9885
137,0,"""48bad451945f5227341793478d6353ea""",SP,3,251,307.0,314,3,0.01,1.0,4.0,3,1.0,102.33,128.33,26.0,0.33,-5,1,0.1716,0.8284
138,1,d6cd01c59123df02fc226eadbadb5f89,SP,1,235,70.0,1,1,1.0,1.0,5.0,1,1.0,70.0,86.0,16.0,0.0,-5,1,0.0104,0.9896
139,1,"""64cc804291f90c81f02bfc2bb58ff55a""",PR,2,46,518.0,96,2,0.02,1.0,2.5,2,1.0,259.0,282.0,23.0,0.0,2,1,0.4998,0.5002
140,1,b76a1f8356322f12529c37b67d5c96c2,SP,5,196,299.0,63,5,0.08,1.0,4.5,5,1.0,59.8,71.0,11.2,0.0,4,1,0.2009,0.7991
141,2,"""06532f10282704ef4c69168b914b77be""",PR,7,380,9828.0,169,7,0.04,1.0,5.0,8,1.14,1404.0,1494.57,90.57,0.0,3,1,0.4747,0.5253
142,1,"""4d600e08ecbe08258c79e536c5a42fee""",PR,7,537,3816.0,161,7,0.04,1.0,5.0,7,1.0,545.14,565.57,20.43,0.0,1,1,0.2386,0.7614
143,1,ffeee66ac5d5a62fe688b9d26f83f534,SP,14,110,1840.0,229,13,0.06,1.08,4.5,14,1.0,131.43,161.43,30.0,0.14,0,1,0.4958,0.5042
144,1,be3b4b0f050a6aa1b2d901c4b77e979f,PR,3,87,579.0,44,3,0.07,1.0,5.0,8,2.67,193.0,244.33,51.33,0.0,3,1,0.1937,0.8063
145,0,d673a59aac7a70d8b01e6902bf090a11,SP,79,11,3949.0,295,69,0.23,1.14,3.83,85,1.08,49.99,70.33,20.34,0.09,4,0,0.8717,0.1283
146,0,cd68562d3f44870c08922d380acae552,SP,122,156,18120.0,350,97,0.28,1.26,4.02,129,1.06,148.52,166.23,17.7,0.2,2,0,0.8918,0.1082
147,1,"""5e105f5c9f63f5f1fd75d6cb942e55b1""",SP,8,9,1472.0,98,6,0.06,1.33,5.0,8,1.0,184.0,218.12,34.12,0.12,2,0,0.692,0.308
148,1,"""1dcfa3835714681d4ba4a93bc1e0fd41""",SP,12,263,1188.0,141,11,0.08,1.09,4.33,14,1.17,99.0,123.67,24.67,0.0,2,0,0.6541,0.3459
