,Unnamed: 0,seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo,Label,Score
57,57,21,5.0,361.66,1.83,41,14.63,1,1,0.6572
58,58,19,5.0,292.17,1.0,48,8.33,0,0,0.5971
59,59,15,3.583333333333333,191.13,1.09,324,3.4,0,0,0.5517
60,60,21,4.338461538461538,155.48,1.08,309,16.18,0,0,0.7732
61,61,21,5.0,59.39,1.0,1,100.0,0,1,0.6936
62,62,5,4.222222222222222,96.01,1.0,219,4.11,1,1,0.5046
63,63,21,5.0,60.44,1.0,159,1.26,0,1,0.5853
64,64,21,5.0,188.42,1.0,1,100.0,0,1,0.5973
65,65,7,4.015384615384615,133.27,1.08,320,16.25,0,0,0.7631
66,66,21,4.125,81.06,1.6,54,7.41,0,1,0.5523
67,67,7,4.25,301.23,1.05,257,18.68,1,0,0.7362
68,68,21,4.571428571428571,1675.01,1.17,189,3.17,1,1,0.7398
69,69,18,4.190476190476191,463.3,1.12,575,9.39,0,0,0.9751
70,70,21,5.0,78.54,1.0,87,2.3,0,1,0.6082
71,71,18,4.049180327868853,197.63,1.13,228,20.61,1,0,0.6516
72,72,14,4.625,1596.66,1.14,169,4.14,1,1,0.6256
73,73,21,3.8028169014084505,135.99,1.16,374,14.97,0,0,0.6148
74,74,14,4.0,181.03,1.12,568,10.92,0,0,0.9788
75,75,14,4.068965517241379,237.69,1.23,277,15.88,0,0,0.6895
76,76,21,4.0,51.43,1.0,82,4.88,0,1,0.5435
77,77,6,4.01,133.11,1.05,216,61.57,0,0,0.8441
78,78,7,4.631578947368421,119.33,1.12,297,5.72,0,0,0.5882
79,79,14,4.366666666666666,466.26,1.15,144,14.58,0,0,0.6428
80,80,18,3.926315789473684,281.14,1.08,485,16.7,0,0,0.946
81,81,11,4.111111111111111,164.25,1.12,509,1.57,0,0,0.9649
82,82,21,3.75,211.75,1.45,358,8.38,0,0,0.6571
83,83,21,3.575,592.02,2.5,565,2.65,0,0,0.9728
84,84,21,4.8,100.8,1.25,12,33.33,0,0,0.635
85,85,15,3.727272727272727,47.87,1.1,138,7.25,1,1,0.5421
86,86,21,4.285714285714286,422.53,2.33,65,4.62,1,1,0.5789
87,87,21,4.666666666666667,105.4,1.5,277,1.44,0,1,0.6483
88,88,7,2.727272727272727,788.66,2.2,71,7.04,0,1,0.5432
89,89,21,4.8,428.6,2.0,46,8.7,0,0,0.5826
90,90,21,3.5,270.98,2.0,1,100.0,1,1,0.7936
91,91,21,3.25,211.54,1.33,477,3.56,0,0,0.9299
92,92,21,2.5,379.8,1.0,63,3.17,1,1,0.7236
93,93,21,4.363636363636363,104.19,1.22,200,4.5,0,1,0.5401
94,94,21,4.0,37.43,1.0,169,1.18,0,1,0.5838
95,95,7,4.538461538461538,68.6,1.07,400,24.25,0,0,0.7755
96,96,21,4.614457831325301,215.64,1.06,339,20.35,0,0,0.8131
97,97,21,4.6,45.56,1.25,237,1.69,1,1,0.6484
98,98,21,4.454545454545454,66.33,1.0,188,6.38,0,0,0.5209
99,99,7,4.125,768.81,2.0,178,2.25,1,1,0.6534
100,100,21,3.3043478260869565,836.82,2.09,293,3.75,0,0,0.5385
101,101,21,3.7777777777777777,91.6,1.5,66,9.09,1,0,0.566
102,102,21,4.237113402061856,205.27,1.31,255,25.49,0,0,0.7076
103,103,21,3.1666666666666665,1260.8,1.0,100,6.0,0,1,0.6593
104,104,21,4.266666666666667,153.87,1.11,249,10.44,0,0,0.7378
105,105,21,4.416666666666667,155.2,1.0,185,4.86,1,0,0.5074
106,106,21,2.7142857142857144,72.74,1.17,69,7.25,0,1,0.6456
107,107,7,2.4285714285714284,2214.68,1.75,160,2.5,0,0,0.5383
108,108,14,3.5384615384615383,71.9,1.08,368,3.26,0,0,0.5604
109,109,7,5.0,605.57,1.0,1,100.0,0,1,0.5414
110,110,21,4.428571428571429,98.79,1.31,298,5.37,1,0,0.5442
111,111,21,4.666666666666667,174.28,1.0,53,5.66,0,0,0.5209
112,112,18,3.5,722.18,1.0,96,2.08,1,1,0.74
113,113,21,5.0,140.04,2.0,1,100.0,1,1,0.7503
114,114,21,3.814814814814815,114.71,1.23,153,14.38,1,0,0.5937
115,115,21,4.1,111.7,1.05,118,14.41,0,0,0.6596
116,116,21,4.857142857142857,82.9,1.0,33,21.21,0,0,0.6422
117,117,21,4.0,82.52,1.0,209,1.91,1,1,0.6345
118,118,21,3.0526315789473686,395.24,1.19,241,6.64,0,1,0.6064
119,119,21,5.0,112.07,1.0,20,25.0,0,0,0.6288
120,120,21,3.742424242424242,332.57,1.32,344,14.24,0,0,0.6138
121,121,7,5.0,86.67,1.0,1,100.0,0,1,0.6952
122,122,21,5.0,242.4,1.0,57,3.51,1,0,0.5188
123,123,21,4.583333333333333,77.2,1.0,106,10.38,0,0,0.6548
124,124,21,2.8181818181818183,723.22,2.75,119,3.36,0,1,0.5831
125,125,21,4.333333333333333,159.78,1.15,364,3.3,0,0,0.548
126,126,15,5.0,260.79,1.0,79,7.59,1,0,0.5173
127,127,21,4.0212765957446805,293.52,1.33,572,15.73,0,0,0.9725
128,128,14,5.0,100.64,1.0,59,3.39,1,0,0.505
129,129,21,4.1,197.46,1.25,204,3.92,1,1,0.5694
130,130,21,5.0,74.51,1.0,1,100.0,0,1,0.6936
131,131,21,4.5,138.61,1.0,142,1.41,0,1,0.5875
132,132,7,4.08695652173913,64.88,1.0,368,6.25,1,0,0.6142
133,133,21,4.0,206.65,1.0,1,100.0,1,1,0.6775
134,134,21,4.666666666666667,516.88,1.0,67,4.48,0,1,0.5186
135,135,21,4.785714285714286,312.87,1.56,428,2.1,0,1,0.6023
136,136,21,5.0,62.87,1.0,1,100.0,1,1,0.6936
137,137,14,3.564102564102564,673.07,1.58,249,18.47,0,0,0.725
138,138,19,5.0,11745.0,15.0,1,100.0,1,1,0.8238
139,139,21,3.6666666666666665,141.55,1.5,10,20.0,1,1,0.6767
140,140,7,5.0,30.86,1.0,1,100.0,1,1,0.7321
141,141,18,4.75,51.45,1.0,99,4.04,0,1,0.5082
142,142,14,4.032710280373832,319.05,1.32,297,34.01,0,0,0.8149
143,143,21,4.215686274509804,90.17,1.12,477,24.32,0,0,0.8709
144,144,21,5.0,33.16,1.0,1,100.0,1,1,0.7772
145,145,21,4.633333333333334,102.97,1.03,505,5.35,0,0,0.9782
146,146,21,3.9831460674157295,108.17,1.14,478,24.9,0,0,0.8859
147,147,21,4.888888888888889,168.26,1.0,60,13.33,0,0,0.6508
148,148,21,3.7540983606557377,363.64,1.64,514,7.0,0,0,0.9677
149,149,15,3.6666666666666665,82.86,1.0,104,5.77,1,1,0.6854
150,150,21,3.9220779220779214,98.79,1.26,383,14.62,0,0,0.6546
151,151,14,5.0,113.42,1.0,46,10.87,1,0,0.6396
152,152,7,4.139737991266376,171.85,1.3,582,21.13,0,0,0.969
153,153,14,5.0,122.3,1.0,78,3.85,0,1,0.5165
154,154,7,4.048780487804878,173.26,1.11,498,7.23,0,0,0.9814
155,155,21,4.52,56.32,1.14,266,7.89,0,0,0.5971
156,156,21,4.0,447.93,1.33,22,13.64,1,1,0.563
157,157,18,2.75,572.2,2.0,70,5.71,1,1,0.6463
158,158,7,4.166666666666666,223.01,1.18,371,11.86,1,0,0.6345
159,159,5,5.0,91.82,1.0,22,9.09,0,0,0.5475
160,160,21,4.25,93.58,1.06,436,25.0,1,0,0.6124
161,161,21,3.938461538461538,220.89,1.22,256,40.62,0,0,0.8249
162,162,21,4.5,70.06,1.11,135,5.93,0,0,0.5145
163,163,7,4.32258064516129,140.19,1.08,463,15.33,0,0,0.7755
164,164,21,2.6666666666666665,44.53,1.0,24,12.5,0,1,0.7055
165,165,21,3.857142857142857,48.9,1.17,314,1.91,0,1,0.6334
166,166,21,4.666666666666667,64.03,1.0,81,3.7,0,1,0.5202
167,167,19,4.142857142857143,233.33,1.17,190,3.16,1,1,0.609
168,168,7,4.361313868613139,89.81,1.2,584,30.99,0,0,0.979
169,169,21,4.714285714285714,116.46,1.0,505,2.57,0,0,0.9757
170,170,7,4.515151515151516,130.26,1.06,424,7.31,0,0,0.6061
171,171,5,5.0,156.57,1.33,26,11.54,1,1,0.5022
172,172,21,4.390243902439024,64.22,1.0,321,11.21,0,0,0.7194
173,173,21,5.0,70.93,1.0,1,100.0,1,1,0.6936
174,174,14,4.267857142857142,155.93,1.19,278,14.75,0,0,0.6173
175,175,21,3.75,120.34,1.0,34,11.76,1,1,0.6644
176,176,21,5.0,102.9,1.0,1,100.0,1,1,0.6883
177,177,21,4.0,80.02,1.0,39,7.69,1,1,0.6373
178,178,21,3.0,150.0,1.0,1,100.0,0,1,0.6795
179,179,19,5.0,27.59,1.0,1,100.0,1,1,0.8182
180,180,21,4.666666666666667,166.12,1.0,57,5.26,0,1,0.5298
181,181,18,4.714285714285714,119.02,1.4,366,2.73,1,1,0.6429
182,182,21,4.4,92.55,1.06,122,22.13,1,0,0.7293
183,183,21,4.62962962962963,68.56,1.17,440,5.23,0,1,0.509
184,184,21,4.25,399.77,1.33,248,1.21,1,1,0.7515
185,185,21,4.833333333333333,124.32,1.2,36,11.11,0,1,0.5149
186,186,21,3.879807692307692,340.86,1.61,414,74.4,0,0,0.8312
187,187,21,5.0,81.62,1.0,52,7.69,0,1,0.5019
188,188,15,3.6666666666666665,303.61,1.0,55,5.45,1,1,0.685
189,189,7,5.0,95.92,1.0,29,10.34,0,0,0.5222
190,190,21,4.25,161.61,1.0,297,2.69,1,1,0.6196
191,191,21,4.071428571428571,705.92,2.0,67,10.45,0,0,0.6053
192,192,21,4.222222222222222,126.21,1.23,545,17.98,0,0,0.9743
193,193,7,4.358974358974359,302.05,1.15,562,5.69,0,0,0.9703
194,194,21,4.387755102040816,58.3,1.28,392,9.18,0,0,0.6595
195,195,21,4.602739726027397,62.5,1.2,286,18.18,0,0,0.7594
196,196,21,5.0,415.5,1.0,16,12.5,0,0,0.58
197,197,15,4.3,107.22,2.0,18,22.22,1,1,0.5955
198,198,19,3.0,368.57,1.0,137,1.46,1,1,0.7938
199,199,21,4.5,103.41,1.0,136,1.47,1,1,0.6333
200,200,21,4.75,324.56,1.0,176,2.27,1,1,0.7001
201,201,21,3.7788461538461537,129.65,1.37,352,18.75,0,0,0.6868
202,202,21,5.0,60.73,1.33,42,7.14,1,1,0.678
203,203,21,3.6,185.57,1.0,50,10.0,1,1,0.5655
204,204,21,5.0,532.22,1.0,19,15.79,0,0,0.5781
205,205,15,3.8333333333333335,1093.72,1.5,28,14.29,0,1,0.5396
206,206,21,2.6666666666666665,515.61,1.0,161,1.86,1,1,0.7402
207,207,14,4.209964412811388,45.99,1.08,464,58.84,0,0,0.885
208,208,21,4.823529411764706,132.28,1.31,278,4.68,0,0,0.5717
209,209,21,3.5,218.33,1.0,63,3.17,1,1,0.7321
210,210,18,4.5434782608695645,226.67,1.05,538,19.89,0,0,0.9904
211,211,21,4.25,114.8,1.0,268,1.49,0,1,0.6348
212,212,18,4.125,231.53,1.23,251,5.18,0,0,0.5532
213,213,21,4.0,101.6,1.0,68,5.88,0,1,0.5156
214,214,21,3.941860465116279,115.39,1.16,572,12.06,0,0,0.97
215,215,21,2.1666666666666665,898.09,2.0,68,2.94,0,0,0.5023
216,216,21,4.777777777777778,111.56,1.0,140,6.43,1,0,0.5487
217,217,21,4.0,922.84,1.0,1,100.0,1,1,0.6865
218,218,18,3.5,177.33,1.0,118,5.08,0,1,0.5757
219,219,15,3.0,107.05,1.0,1,100.0,1,1,0.8
220,220,21,3.7142857142857135,192.13,1.17,443,3.84,0,0,0.5073
221,221,21,3.9827586206896552,57.23,1.18,110,35.45,0,0,0.7689
222,222,21,4.0,37.68,1.0,1,100.0,1,1,0.845
223,223,14,4.444444444444445,95.86,1.12,212,3.77,0,1,0.5041
224,224,21,4.181818181818182,211.24,1.0,434,5.07,0,0,0.7204
225,225,5,3.0,309.32,1.0,1,100.0,1,1,0.8284
226,226,21,5.0,50.38,1.0,29,10.34,0,0,0.5363
227,227,21,4.8125,251.28,2.29,222,3.15,1,1,0.5897
228,228,21,4.090909090909091,682.58,1.22,111,8.11,1,1,0.5525
229,229,14,4.166666666666667,173.02,1.09,106,8.49,0,0,0.6573
230,230,21,4.0,82.69,1.29,365,4.66,0,0,0.5667
231,231,1,1.0,2818.74,1.0,1,100.0,1,1,0.784
232,232,15,4.129032258064516,54.43,1.07,495,5.25,0,0,0.9731
233,233,21,3.8157894736842106,194.2,1.36,159,14.47,0,0,0.6284
234,234,21,4.342105263157895,126.98,1.03,505,6.73,0,0,0.9762
235,235,21,4.333333333333333,158.96,1.0,106,4.72,1,1,0.5348
236,236,18,2.5,165.03,1.0,116,1.72,0,1,0.6919
237,237,19,4.333333333333333,67.49,1.0,93,6.45,1,1,0.5352
238,238,21,1.0,109.72,1.0,1,100.0,0,1,0.8403
239,239,7,4.326666666666666,162.48,1.27,584,33.05,0,0,0.9782
240,240,21,3.909090909090909,256.96,1.43,302,7.28,0,0,0.5388
241,241,14,3.0,215.32,1.0,28,10.71,1,1,0.671
242,242,4,4.115384615384615,266.49,1.04,251,9.16,0,0,0.7418
243,243,21,1.0,56.04,1.0,1,100.0,1,1,0.8436
244,244,7,4.368421052631579,165.98,1.19,300,5.0,1,1,0.5249
245,245,7,4.888888888888889,79.71,1.5,93,5.38,1,1,0.5686
246,246,21,4.333333333333333,247.91,1.12,117,5.98,0,0,0.5235
247,247,21,5.0,70.58,1.0,23,8.7,0,0,0.5614
248,248,21,4.073710073710074,79.97,1.03,574,39.9,0,0,0.9855
249,249,14,4.25,245.11,1.0,91,4.4,1,1,0.5292
250,250,14,5.0,136.76,1.0,1,100.0,0,1,0.6952
251,251,21,4.3125,518.82,1.45,92,11.96,0,0,0.5836
252,252,14,3.6875,625.3,1.28,373,12.06,0,0,0.7733
253,253,21,4.642857142857143,187.22,1.17,340,3.24,0,0,0.5681
254,254,19,5.0,54.5,1.0,28,7.14,1,1,0.5412
255,255,21,3.0,235.7,1.0,187,2.67,0,1,0.6876
256,256,21,4.9,199.29,1.0,117,8.55,0,0,0.7296
257,257,21,5.0,61.08,1.0,1,100.0,1,1,0.6936
258,258,7,5.0,356.11,1.0,1,100.0,0,1,0.7447
259,259,21,5.0,613.28,1.0,8,25.0,1,1,0.6163
260,260,21,3.6774193548387095,430.63,1.15,415,6.02,1,0,0.5022
261,261,21,5.0,198.8,1.0,3,66.67,0,0,0.5691
262,262,21,5.0,252.35,1.0,1,100.0,1,1,0.6858
263,263,21,4.628571428571429,162.65,1.29,576,4.34,0,0,0.9751
264,264,21,4.181818181818182,269.73,1.22,454,1.98,1,1,0.7748
265,265,5,4.545454545454546,226.86,1.0,325,3.38,0,0,0.691
266,266,7,4.0,89.6,1.0,158,1.27,1,1,0.5875
267,267,21,4.315789473684211,51.02,1.06,43,32.56,0,0,0.6408
268,268,21,4.24,572.99,1.23,404,26.49,0,0,0.6845
269,269,7,4.029850746268656,130.27,1.17,407,24.57,0,0,0.6727
270,270,21,4.195488721804511,259.62,1.09,551,29.22,0,0,0.9776
271,271,21,3.6666666666666665,317.33,1.0,16,12.5,1,1,0.7291
272,272,21,4.365079365079365,1206.86,1.12,548,9.85,0,0,0.977
273,273,21,4.7,1279.69,2.0,146,2.74,1,1,0.6408
274,274,21,3.628113879003558,179.79,1.36,355,65.92,0,0,0.864
275,275,7,4.338461538461538,71.98,1.05,370,15.95,0,0,0.7523
276,276,21,4.666666666666667,134.52,1.0,10,30.0,0,0,0.5495
277,277,19,4.5,77.7,1.33,274,2.19,1,1,0.6633
278,278,19,5.0,268.29,1.0,88,6.82,0,0,0.5586
279,279,21,3.8,162.68,1.25,48,8.33,0,0,0.5414
280,280,21,3.4846153846153847,134.74,1.2,371,21.56,0,0,0.6766
281,281,21,4.648648648648648,48.2,1.19,83,27.71,0,0,0.6717
282,282,21,3.8924162257495576,145.05,1.42,467,53.75,0,0,0.9269
283,283,3,3.0,270.93,1.33,53,5.66,1,1,0.6603
284,284,21,5.0,178.92,1.0,1,100.0,0,1,0.6216
285,285,21,1.0,212.06,1.0,1,100.0,0,1,0.7409
286,286,21,4.666666666666667,576.69,1.5,22,9.09,0,0,0.5243
287,287,21,4.0,299.52,1.12,200,4.0,1,1,0.522
288,288,7,4.25,263.18,1.14,146,8.22,1,0,0.5089
289,289,7,3.88,89.02,1.0,209,10.05,1,0,0.6517
290,290,21,4.222222222222222,317.08,1.0,79,11.39,0,0,0.6289
291,291,14,5.0,338.74,1.0,1,100.0,1,1,0.7339
292,292,19,4.0,162.59,1.0,1,100.0,1,1,0.7064
293,293,21,5.0,54.9,1.0,260,1.54,1,1,0.5959
294,294,19,4.236263736263736,205.25,1.14,474,24.89,0,0,0.885
295,295,19,5.0,97.0,1.0,1,100.0,1,1,0.6832
296,296,21,3.59375,722.82,1.6,113,17.7,0,0,0.5932
297,297,21,4.3,58.06,1.11,58,13.79,1,0,0.5923
298,298,21,5.0,81.59,1.0,259,0.77,0,0,0.5935
299,299,14,4.090909090909091,241.34,1.2,216,4.17,1,1,0.5535
300,300,14,4.625,79.34,1.14,184,3.8,0,0,0.5638
301,301,21,1.0,715.34,1.0,1,100.0,0,1,0.8041
302,302,19,4.147826086956521,184.23,1.05,526,18.25,0,0,0.9825
303,303,14,5.0,65.81,1.0,1,100.0,1,1,0.6885
304,304,19,2.0,278.77,1.0,71,7.04,0,1,0.5655
305,305,21,4.363636363636363,253.27,1.0,308,3.57,0,0,0.5648
306,306,21,4.092307692307692,94.73,1.18,284,18.66,1,0,0.713
307,307,21,3.75,109.9,1.07,327,4.28,1,1,0.5186
308,308,21,4.4375,177.02,1.1,331,7.85,0,0,0.6136
309,309,21,4.569767441860465,80.25,1.1,561,12.3,0,0,0.9788
310,310,21,4.888888888888889,116.62,1.0,282,3.19,0,0,0.5785
311,311,19,3.6,864.89,1.67,100,3.0,1,1,0.7225
312,312,21,4.201793721973094,88.99,1.12,314,43.31,0,0,0.8568
313,313,21,4.545454545454546,160.39,1.05,85,20.0,0,0,0.7834
314,314,21,4.333333333333333,89.13,1.0,31,9.68,0,0,0.5482
315,315,21,4.333333333333333,921.89,1.0,515,2.33,0,0,0.9765
316,316,14,3.943820224719101,295.66,1.25,395,23.29,0,0,0.67
317,317,7,5.0,113.69,1.0,1,100.0,0,1,0.6952
318,318,21,5.0,39.42,1.0,1,100.0,1,1,0.6707
319,319,7,5.0,501.15,1.0,110,2.73,0,1,0.5664
320,320,21,2.25984251968504,186.55,1.19,207,24.15,1,0,0.5923
321,321,15,4.564102564102564,56.74,1.18,476,6.72,0,0,0.7208
322,322,14,5.0,391.95,3.0,1,100.0,0,1,0.7288
323,323,21,4.25,123.06,1.09,102,10.78,0,0,0.6169
324,324,14,3.7777777777777777,111.85,1.0,179,5.03,0,0,0.5074
325,325,7,5.0,112.8,1.0,59,3.39,0,0,0.5008
326,326,21,5.0,185.34,1.0,63,6.35,0,0,0.5008
327,327,19,3.733333333333333,139.49,1.12,383,9.66,0,0,0.6551
328,328,19,5.0,48.81,1.0,38,5.26,0,1,0.5797
329,329,12,3.6666666666666665,1291.19,1.0,302,0.99,1,1,0.7222
330,330,21,3.5,35.59,1.0,68,2.94,1,1,0.8491
331,331,19,3.8,56.62,1.25,120,3.33,0,1,0.5668
332,332,15,3.2,350.22,1.25,380,1.05,1,1,0.769
333,333,7,4.5,65.83,1.0,464,2.59,1,1,0.5638
334,334,21,4.365853658536586,92.15,1.02,256,13.28,0,0,0.718
335,335,21,4.277777777777778,104.95,1.5,172,6.98,0,1,0.5323
336,336,14,3.917525773195876,183.91,1.09,462,17.53,0,0,0.8539
337,337,7,5.0,78.32,1.0,1,100.0,0,1,0.6952
338,338,7,3.9791666666666665,229.33,1.17,321,8.41,1,0,0.5262
339,339,21,4.063063063063063,78.19,1.28,536,36.19,0,0,0.9814
340,340,21,4.535714285714286,108.98,1.12,203,11.82,0,0,0.7124
341,341,21,4.0769230769230775,159.01,1.17,141,7.8,1,1,0.5857
342,342,21,3.75,205.22,1.0,98,8.16,1,1,0.5879
343,343,21,5.0,167.17,1.0,71,2.82,0,1,0.5153
344,344,21,3.259259259259259,174.33,1.35,163,11.04,1,0,0.5763
345,345,21,5.0,146.2,1.0,57,3.51,0,0,0.505
346,346,21,1.0,166.71,1.0,1,100.0,1,1,0.8274
347,347,21,5.0,97.21,1.0,37,8.11,1,1,0.6239
348,348,21,4.454545454545454,32.86,1.22,99,9.09,1,0,0.5895
349,349,21,4.281879194630872,213.61,1.24,285,32.63,0,0,0.8407
350,350,21,3.8,336.57,1.0,126,3.97,0,1,0.5212
351,351,9,4.5,234.47,1.0,31,6.45,0,0,0.5277
352,352,21,4.315789473684211,109.21,1.31,525,9.33,0,0,0.97
353,353,21,4.333333333333333,707.57,1.22,481,5.2,0,0,0.9079
354,354,21,5.0,53.47,1.0,1,100.0,0,1,0.6936
355,355,21,3.98801797304044,208.38,1.44,510,76.08,0,0,0.9875
356,356,21,1.0,57.29,1.0,1,100.0,1,1,0.8436
357,357,18,5.0,210.89,1.0,398,0.75,1,1,0.5314
358,358,14,4.571428571428571,252.05,2.0,251,2.79,0,1,0.6412
359,359,21,4.113924050632912,212.27,1.05,492,14.84,0,0,0.9808
360,360,21,1.0,217.18,1.0,1,100.0,0,1,0.7409
361,361,21,1.5,214.46,3.0,28,7.14,0,1,0.5108
362,362,21,4.444444444444445,251.35,1.0,238,7.56,0,0,0.5348
363,363,15,4.28,373.85,1.25,15,73.33,0,0,0.5518
364,364,19,4.0,1277.16,4.0,1,100.0,1,1,0.723
365,365,21,4.1875,159.47,2.0,234,3.42,1,1,0.5419
366,366,21,5.0,173.68,1.0,1,100.0,0,1,0.6216
367,367,7,5.0,147.71,1.0,1,100.0,0,1,0.7074
368,368,14,4.5,65.94,1.0,219,5.02,1,0,0.5074
369,369,21,4.5,167.15,1.0,3,66.67,0,1,0.5251
370,370,14,5.0,273.42,1.0,256,1.17,1,1,0.6625
371,371,14,5.0,80.74,1.0,4,50.0,0,1,0.5234
372,372,21,3.8372093023255816,204.76,1.05,434,8.53,0,0,0.83
373,373,21,5.0,619.98,2.0,32,9.38,1,1,0.5434
374,374,21,4.25,75.91,1.14,24,25.0,0,0,0.5826
375,375,21,3.7142857142857135,148.87,1.0,273,2.56,0,1,0.684
376,376,14,3.865384615384616,104.79,1.68,526,5.7,0,0,0.9634
377,377,7,1.0,26.98,1.0,1,100.0,1,1,0.908
378,378,21,4.385964912280702,200.75,1.42,519,7.32,0,0,0.9729
379,379,21,2.5,29.42,1.0,1,100.0,1,1,0.8234
380,380,21,3.907834101382488,54.94,1.13,581,44.23,0,0,0.9826
381,381,21,3.849740932642487,181.97,1.29,267,35.21,0,0,0.8474
382,382,7,2.333333333333333,72.29,1.0,71,4.23,0,1,0.5712
383,383,21,4.0,157.29,1.0,329,6.38,0,0,0.5964
384,384,21,4.666666666666667,59.61,1.5,20,10.0,1,0,0.5125
385,385,21,4.174117647058823,194.38,1.12,582,43.13,0,0,0.9877
386,386,21,3.5294117647058822,408.21,1.21,245,5.31,0,0,0.5411
387,387,21,4.4375,273.36,1.33,570,4.21,0,0,0.9739
388,388,2,4.5,210.33,1.0,24,16.67,0,0,0.558
389,389,21,4.5,194.86,1.0,14,14.29,0,0,0.5658
390,390,7,4.305555555555555,335.96,3.0,327,3.67,1,1,0.5717
391,391,21,5.0,204.76,1.0,1,100.0,1,1,0.6094
392,392,14,4.181818181818182,149.67,1.1,36,22.22,1,0,0.5267
393,393,14,5.0,153.89,1.4,96,5.21,0,1,0.5557
394,394,7,3.661971830985916,214.42,1.23,530,19.25,0,0,0.9727
